--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Water Absorb|Download    |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Water Absorb|Download    |Choice Scarf (rare)
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Water Absorb|Download    |X Attack (rare)
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|Hustle      | -          |Hyper Potion (common), Choice Band (rare)
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|Hustle      | -          |Smoke Ball (100%)
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|Hustle      | -          |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|Rock Head   |Torrent     |TM50 (common), Antidote (rare)
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|Rock Head   |Torrent     |TM81 (common)
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|Rock Head   |Torrent     |PP Max (common)
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|Poison Heal |Trace       |TM32 (common)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|Poison Heal |Trace       |Max Elixir (common), X Speed (rare)
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  90|  80|Poison Heal |Trace       |Revival Herb (rare)
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Dry Skin    |Sturdy      |Elixir (common), TM23 (rare)
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Dry Skin    |Sturdy      |TM49 (rare)
 15|BEEDRILL  |BUG/POISON       |  65|  90|  40|  75|  45|  80|Dry Skin    |Sturdy      |
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Forecast    | -          |Power Band (rare)
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Forecast    | -          |Hyper Potion (common)
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75| 101|  70|  70|Forecast    | -          |
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|Hyper Cutter| -          |Safari Ball (common), TM75 (rare)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|Hyper Cutter| -          |Leaf Stone (rare)
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Cloud Nine  | -          |
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Cloud Nine  | -          |TM75 (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|Honey Gather| -          |White Herb (common)
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|Honey Gather| -          |
 25|PIKACHU   |ELECTRIC         |  35|  55|  40|  90|  50|  50|Dry Skin    |Rock Head   |Fresh Water (common), TM72 (rare)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 110|  90|  80|Dry Skin    |Rock Head   |
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|Sand Stream | -          |Yellow Shard (rare)
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|Sand Stream | -          |Leaf Stone (common), White Flute (rare)
 29|NIDORAN♀  |POISON           |  55|  47|  52|  41|  40|  40|Reckless    |Unburden    |
